x, y, z
5.8393e+07,-9.0635e+07,9.0671e+27
-4.295e+07,-8.2894e+07,7.3325e+27
2.4983e+07,-8.3405e+07,7.1125e+27
-4.3812e+06,-4.3336e+07,1.8828e+27
-6.0865e+07,-4.0675e+07,2.5806e+27
-2.3537e+07,-6.1775e+07,3.9546e+27
-8.9225e+07,-1.7171e+07,2.2851e+27
-9.6703e+06,3.1239e+06,3.3138e+25
9.6401e+07,3.7674e+07,3.7426e+27
-7.5211e+07,-9.5358e+07,1.0507e+28
-7.6124e+07,9.3573e+07,1.0205e+28
4.7705e+07,3.5577e+07,1.8346e+27
1.7461e+07,8.7891e+07,7.8011e+27
-5.6735e+06,3.8405e+07,1.483e+27
-7.8575e+07,-6.5273e+07,5.804e+27
-5.4156e+07,-5.4405e+07,3.6931e+27
7.9993e+07,9.1388e+07,9.9515e+27
-1.6649e+07,5.6775e+06,1.0153e+26
7.1703e+06,1.1211e+07,1.3853e+26
-9.8758e+07,8.6792e+07,9.9712e+27
-3.9872e+07,-5.266e+07,3.1706e+27
-1.2621e+07,-4.2706e+07,1.8636e+27
2.243e+07,5.4804e+07,3.1293e+27
8.364e+07,-8.005e+07,8.157e+27
2.5147e+07,-6.509e+07,4.3948e+27
4.12e+07,-2.1263e+06,4.2887e+26
-7.0033e+07,-6.8379e+07,5.9018e+27
4.9213e+07,-3.6036e+07,1.9041e+27
6.6201e+07,3.2243e+07,2.1353e+27
2.6745e+07,-3.0403e+07,1.1032e+27
-1.2338e+07,-1.3004e+07,2.0717e+26
-6.9485e+07,1.3125e+07,1.3793e+27
1.3682e+07,5.5005e+07,3.0724e+27
5.6449e+06,-8.6549e+07,7.4987e+27
9.0286e+07,-6.7597e+07,6.6072e+27
-3.9282e+06,4.7822e+07,2.2908e+27
5.1191e+05,-3.7625e+07,1.4157e+27
7.3756e+06,-8.9966e+07,8.1076e+27
6.384e+07,3.8039e+07,2.4659e+27
-8.8577e+07,5.779e+07,5.3012e+27
3.3884e+07,1.6031e+07,5.4402e+26
5.3423e+07,-4.8457e+07,3.0616e+27
4.1623e+07,-3.8559e+07,1.9199e+27
5.9373e+07,-1.2279e+07,1.0321e+27
1.1552e+07,3.8988e+06,4.8564e+25
9.3167e+07,3.6294e+07,3.4873e+27
-7.0569e+07,5.6576e+07,4.4458e+27
-9.4071e+07,7.9127e+07,8.4734e+27
1.8779e+07,4.5636e+07,2.1708e+27
-7.7187e+07,-5.0797e+06,1.5153e+27
9.0162e+07,4.9033e+07,4.4365e+27
-3.4859e+07,-9.4458e+07,9.226e+27
-6.1276e+07,3.854e+07,2.424e+27
-8.4377e+06,-7.8134e+07,6.1227e+27
8.4081e+07,5.2784e+07,4.5535e+27
7.5814e+07,-7.9996e+07,7.8363e+27
-4.9477e+07,-6.1643e+07,4.4118e+27
-3.0398e+07,4.5584e+07,2.3089e+27
-6.3482e+07,3.6453e+07,2.3363e+27
8.0359e+07,-1.8979e+07,1.9746e+27
4.1306e+07,-3.1564e+07,1.4228e+27
4.5332e+07,5.656e+07,3.7128e+27
8.0018e+07,-3.8486e+06,1.6155e+27
5.5833e+07,9.5837e+07,9.9641e+27
1.9831e+07,-8.024e+07,6.5368e+27
-4.1775e+07,-8.3191e+07,7.357e+27
-6.9721e+07,8.7572e+06,1.2919e+27
-3.2965e+07,8.7514e+07,7.9303e+27
3.151e+07,-2.3399e+07,7.9575e+26
-8.5331e+07,6.2657e+07,5.7462e+27
-8.8999e+07,-5.5758e+07,5.0891e+27
-3.5361e+07,-7.885e+07,6.5299e+27
1.8096e+07,1.1578e+07,2.1593e+26
7.078e+07,-3.4017e+07,2.4096e+27
-4.2588e+07,3.8312e+07,1.9212e+27
-6.5387e+07,-3.3798e+06,1.0803e+27
-7.3196e+07,-2.8573e+07,2.1558e+27
9.8931e+07,-2.7027e+07,3.1773e+27
-6.41e+07,8.5345e+07,8.3111e+27
-3.6491e+07,-1.6494e+07,6.0494e+26
1.3658e+07,-7.6582e+07,5.9114e+27
-9.813e+07,8.91e+07,1.0346e+28
8.013e+07,-8.4464e+07,8.7394e+27
9.5448e+07,6.8549e+07,6.9766e+27
1.1379e+07,9.8721e+07,9.7781e+27
-8.3045e+07,-3.923e+07,3.2631e+27
-3.34e+07,-1.5154e+07,5.0854e+26
4.5686e+07,-7.3931e+07,5.9876e+27
-7.1513e+07,-6.2855e+07,5.2293e+27
1.0494e+07,3.6778e+07,1.3802e+27
-4.5391e+07,6.7702e+07,5.0987e+27
9.4899e+07,-3.1329e+07,3.233e+27
3.3557e+07,2.266e+07,7.9499e+26
-4.8869e+07,-2.3673e+07,1.1574e+27
-7.8338e+07,7.2203e+07,6.7474e+27
5.5236e+07,-6.2633e+07,4.6857e+27
5.6496e+07,6.3588e+07,4.8414e+27
5.2321e+07,2.8054e+06,6.9224e+26
8.2881e+07,7.3035e+07,7.0514e+27
3.1725e+07,-8.8901e+07,8.155e+27
1.3674e+07,6.2422e+07,3.9433e+27
-5.9649e+07,-2.7034e+07,1.6203e+27
3.9659e+07,1.4119e+07,5.9257e+26
9.0439e+07,-9.2703e+07,1.0639e+28
7.7993e+07,9.7093e+07,1.0948e+28
9.8713e+07,-4.2258e+07,4.2218e+27
6.3741e+07,-7.8537e+07,7.1838e+27
9.0244e+06,-3.3417e+07,1.137e+27
-9.7492e+06,6.9225e+06,7.1683e+25
7.8111e+07,-2.2843e+07,2.0471e+27
9.4653e+07,8.384e+07,9.2689e+27
1.8682e+07,3.3018e+07,1.1774e+27
-2.6785e+07,-1.2865e+07,3.4486e+26
-3.5381e+07,-3.5231e+07,1.5542e+27
7.4285e+07,4.3509e+07,3.2726e+27
-5.6873e+07,-9.1892e+07,9.2527e+27
4.6989e+07,-1.862e+07,8.9869e+26
-2.6876e+07,-7.5646e+07,5.9029e+27
6.0321e+07,-6.2879e+07,4.8634e+27
5.6547e+07,4.6897e+07,2.9987e+27
4.0271e+07,6.7967e+07,5.025e+27
2.4555e+07,-3.902e+06,1.6597e+26
-1.2635e+06,3.2914e+07,1.0837e+27
6.8108e+07,9.3264e+07,9.8578e+27
4.2419e+07,9.7734e+07,1.0002e+28
-1.1218e+07,2.1977e+07,5.1444e+26
-9.3793e+07,6.0519e+07,5.8618e+27
-2.7352e+07,-1.9315e+07,5.601e+26
4.6144e+07,8.3583e+07,7.5184e+27
-4.8867e+06,-4.8461e+06,2.9454e+25
-3.1117e+07,5.3454e+07,3.0994e+27
2.8176e+07,-9.3153e+06,2.8525e+26
-7.4759e+07,8.028e+06,1.4617e+27
-6.5707e+07,-4.3896e+07,3.0062e+27
4.7417e+07,-8.0627e+07,7.0628e+27
-7.4594e+07,-3.6921e+07,2.7542e+27
-2.607e+07,3.8496e+07,1.6519e+27
2.0867e+07,-1.2078e+07,2.5472e+26
-7.9379e+07,-2.2078e+07,2.0627e+27
6.0475e+07,4.7632e+07,3.1831e+27
8.9111e+07,-2.1019e+07,2.427e+27
9.5808e+07,5.3373e+07,5.1435e+27
7.6246e+07,-5.2894e+06,1.4814e+27
2.5536e+07,-7.9013e+07,6.4061e+27
8.6097e+07,8.21e+07,8.5935e+27
4.4958e+07,-7.7245e+07,6.472e+27
4.3336e+07,-9.6831e+07,9.8458e+27
-9.1784e+07,-4.522e+07,4.1509e+27
-1.2104e+07,-3.7111e+07,1.4138e+27
-4.3586e+07,-4.3007e+07,2.3245e+27
-3.3001e+07,6.6435e+07,4.6858e+27
-8.3295e+07,3.7723e+07,3.1576e+27
5.217e+07,-8.841e+07,8.4967e+27
1.8545e+06,-5.5515e+07,3.0828e+27
3.2209e+07,-8.4978e+06,3.3157e+26
2.6063e+07,3.0943e+07,1.1273e+27
-2.5815e+07,-8.8979e+07,8.0838e+27
-1.0652e+07,-4.2058e+07,1.7972e+27
-1.6978e+07,7.5773e+06,1.2948e+26
-3.9223e+06,-9.4493e+07,8.9329e+27
9.6665e+07,-2.2992e+07,2.8646e+27
-2.5315e+07,4.4465e+07,2.1374e+27
-9.7519e+07,6.7909e+07,6.989e+27
8.4381e+07,-1.4322e+07,1.9852e+27
7.4655e+07,4.8576e+07,3.753e+27
-2.9651e+07,-9.273e+06,3.0578e+26
2.6027e+07,-9.707e+07,9.5919e+27
-2.8435e+07,2.9552e+07,1.0755e+27
-5.7436e+07,3.9875e+07,2.4147e+27
-5.5336e+07,-3.7636e+06,7.7969e+26
-1.6087e+07,-4.9423e+07,2.5073e+27
-8.5418e+07,-4.3333e+07,3.7018e+27
3.0168e+07,3.4018e+07,1.3847e+27
5.1137e+07,8.8903e+07,8.5576e+27
8.642e+07,2.1677e+07,2.337e+27
-2.4719e+07,1.1156e+07,2.7721e+26
-4.0615e+07,8.7572e+07,8.0813e+27
-2.5611e+07,-8.6807e+06,2.3934e+26
6.554e+07,-9.8414e+07,1.0759e+28
8.0228e+07,4.1988e+07,3.3722e+27
-1.4539e+07,-3.4234e+07,1.2248e+27
-9.9562e+07,-2.8161e+07,3.2712e+27
-9.1607e+07,-6.5947e+07,6.4469e+27
-7.1643e+07,-1.6345e+07,1.5503e+27
1.9647e+07,1.0662e+07,2.1019e+26
-7.8708e+07,-1.4504e+07,1.7591e+27
-4.0568e+07,7.4323e+07,5.9353e+27
-8.8322e+07,-7.5891e+07,7.7096e+27
2.4265e+07,-6.5992e+07,4.5022e+27
-9.5464e+07,7.2179e+07,7.4882e+27
7.1011e+07,-7.9757e+07,7.6219e+27
-3.8733e+07,-7.3861e+07,5.8305e+27
5.1757e+07,-2.2627e+07,1.1817e+27
1.2655e+07,-7.3353e+07,5.4207e+27
-9.2367e+07,3.3709e+07,3.2692e+27
1.3103e+07,1.364e+06,4.4785e+25
3.1775e+07,-2.9735e+07,1.1366e+27
-6.3347e+07,-2.5455e+07,1.6512e+27
5.9482e+07,95261,8.8454e+26
2.2473e+07,-5.836e+07,3.5321e+27
1.1131e+07,-8.7969e+07,7.7695e+27
2.5898e+07,4.949e+07,2.6169e+27
3.7236e+07,-3.4975e+07,1.5699e+27
-5.1923e+07,-6.8094e+07,5.3107e+27
5.7586e+07,8.1669e+07,7.4989e+27
7.1295e+07,8.6337e+07,8.7248e+27
4.5559e+07,5.7869e+07,3.8677e+27
3.8469e+07,6.8953e+07,5.1245e+27
-5.5298e+06,2.5346e+07,6.5009e+26
7.1375e+07,-4.3595e+07,3.1741e+27
3.2949e+07,-5.6266e+07,3.4373e+27
-3.3325e+07,-6.951e+07,5.1093e+27
3.6291e+06,-8.7844e+06,8.0458e+25
-2.1062e+07,5.0261e+07,2.6371e+27
-9.379e+07,1.602e+07,2.4558e+27
1.5368e+07,1.1466e+07,1.9051e+26
7.005e+07,4.5172e+07,3.2673e+27
9.0298e+07,8.9987e+07,1.0136e+28
3.6596e+07,-7.509e+06,3.912e+26
-8.4767e+07,4.151e+07,3.5195e+27
-1.7984e+07,-1.2665e+07,2.4125e+26
-9.162e+07,2.5676e+07,2.7578e+27
-6.5163e+07,2.3671e+07,1.6219e+27
1.308e+07,-9.7376e+07,9.5249e+27
-6.5422e+07,-2.7212e+06,1.0774e+27
1.3322e+07,9.396e+07,8.8728e+27
2.8009e+06,-8.1352e+07,6.6201e+27
7.3774e+07,-3.2196e+07,2.3972e+27
4.4069e+07,9.8919e+07,1.027e+28
8.0718e+07,-2.1789e+07,2.1036e+27
-4.4477e+07,-3.6591e+07,1.8335e+27
-4.8667e+07,9.2821e+07,9.2079e+27
3.9941e+07,-4.8628e+07,2.7635e+27
8.0314e+07,-3.4151e+07,2.7789e+27
9.6738e+07,-1.785e+07,2.6582e+27
2.8183e+07,-8.6918e+07,7.7532e+27
-3.3999e+07,6.5113e+07,4.5286e+27
2.1335e+07,-2.0322e+07,5.2676e+26
6.4432e+07,-7.1423e+07,6.1391e+27
2.5593e+07,1.7883e+07,4.8355e+26
-7.6415e+07,-5.1326e+07,4.0942e+27
-4.2824e+07,-7.1062e+07,5.5083e+27
9.7349e+07,-8.6739e+07,9.8928e+27
-1.364e+07,8.2692e+07,6.8845e+27
1.4847e+07,-5.1944e+07,2.7533e+27
5.4484e+06,1.9176e+06,1.1099e+25
-6.0469e+07,-5.978e+07,4.4878e+27
-6.6858e+07,4.3345e+05,1.1177e+27
1.9809e+05,4.822e+07,2.3252e+27
9.8041e+07,2.9263e+07,3.2593e+27
-2.1202e+07,-7.8238e+07,6.2335e+27
4.2803e+07,-8.3143e+07,7.3708e+27
-6.4819e+07,3.3384e+07,2.1649e+27
-8.5861e+07,-5.0706e+07,4.4141e+27
-6.8475e+07,5.397e+07,4.085e+27
-6.7688e+07,-4.9494e+07,3.5951e+27
-4.3273e+07,-4.2524e+06,4.8621e+26
7.3412e+06,6.5597e+06,5.6503e+25
5.4648e+07,-6.4711e+07,4.9341e+27
7.6069e+07,1.0447e+06,1.4477e+27
2.7478e+07,-9.8991e+07,9.988e+27
7.052e+07,-4.0462e+07,2.8805e+27
1.9591e+07,8.2328e+07,6.8739e+27
3.8769e+07,-9.061e+07,8.5859e+27
7.4353e+06,-7.6136e+07,5.8105e+27
7.7846e+07,9.0283e+07,9.666e+27
-8.9547e+07,4.4493e+07,3.9842e+27
5.6637e+07,-3.1752e+06,8.1201e+26
-7.0965e+07,-9.8908e+07,1.1042e+28
-8.826e+07,-1.5654e+07,2.1925e+27
-8.8201e+07,9.8069e+07,1.1562e+28
-8.9606e+07,4.8385e+07,4.3484e+27
3.1972e+06,-4.8716e+07,2.3758e+27
-1.9001e+07,-8.7413e+07,7.7313e+27
9.993e+07,-5.7818e+07,5.8394e+27
-7.8286e+07,8.7699e+07,9.2233e+27
-3.4523e+07,-8.7173e+07,7.897e+27
9.9566e+07,-6.5798e+07,6.8077e+27
-1.9777e+07,9.1466e+07,8.4639e+27
7.6667e+07,4.4188e+07,3.422e+27
1.3828e+07,-9.7647e+07,9.5827e+27
9.0648e+07,-4.9015e+07,4.4567e+27
7.7077e+07,-7.3175e+07,6.8399e+27
5.5857e+07,1.7288e+07,1.0789e+27
-9.3638e+07,2.3001e+07,2.7211e+27
9.2524e+07,4.4448e+07,4.1158e+27
3.9271e+06,-1.5615e+07,2.477e+26
-5.8442e+07,1.4141e+07,1.0538e+27
7.502e+07,-3.7115e+07,2.7845e+27
-5.517e+07,-7.2942e+07,6.0814e+27
-7.2268e+07,-9.7226e+07,1.0759e+28
4.5048e+07,7.0589e+07,5.4902e+27
9.4758e+07,-5.3074e+07,5.0617e+27
7.0964e+06,4.6903e+07,2.2125e+27
-1.104e+07,1.0521e+07,1.4117e+26
-9.5578e+07,-5.2406e+07,5.0302e+27
2.1198e+07,4.7892e+07,2.406e+27
9.2959e+07,2.0331e+07,2.5737e+27
9.3518e+07,-6.5371e+07,6.4597e+27
8.6006e+07,-3.8055e+07,3.2974e+27
-6.3064e+07,-3.9592e+07,2.5618e+27
2.4592e+07,-7.7866e+07,6.2144e+27
-1.7407e+07,8.4508e+07,7.2173e+27
-2.7388e+07,-6.8397e+07,4.8656e+27
-9.2679e+07,-9.0667e+07,1.0368e+28
7.363e+07,-6.6267e+07,5.7466e+27
3.4566e+07,-9.305e+07,8.957e+27
-8.2506e+07,-6.1024e+06,1.739e+27
7.7393e+07,-4.7263e+07,3.7312e+27
5.6493e+07,-8.4935e+07,8.0118e+27
-3.6539e+07,-8.7896e+07,8.0595e+27
6.3663e+07,-5.2343e+07,3.753e+27
1.511e+06,-4.452e+07,1.9826e+27
-9.5761e+07,1.5465e+07,2.5317e+27
-1.3296e+07,-3280,4.4194e+25
-1.0737e+07,-8.3124e+07,6.9384e+27
-5.2236e+07,-5.8735e+07,4.1319e+27
6.6049e+07,7.5626e+07,6.81e+27
4.8953e+07,9.0048e+05,5.9991e+26
1.7296e+07,1.6301e+07,3.4052e+26
-1.4264e+06,-1.1277e+06,1.7803e+24
-2.5288e+06,-1.9179e+07,3.6944e+26
-4.6652e+07,9.212e+07,9.0301e+27
2.1002e+07,-9.1221e+07,8.4316e+27
5.0709e+07,1.548e+07,8.8246e+26
-4.5883e+07,-3.3616e+07,1.6564e+27
4.4607e+06,6.4099e+07,4.1136e+27
-8.0334e+07,6.0874e+07,5.319e+27
4.2727e+07,7.5705e+07,6.1877e+27
7.6808e+07,-2.3825e+06,1.4805e+27
1.3411e+07,-7.5754e+07,5.7836e+27
9.8896e+07,9.6589e+07,1.1775e+28
-6.4252e+07,5.4417e+06,1.0617e+27
-9.756e+07,-8.0836e+07,8.914e+27
-8.6003e+06,-7.5143e+07,5.665e+27
8.635e+07,-2.6955e+07,2.5907e+27
6.9205e+07,3.2394e+07,2.2467e+27
-5.334e+06,-8.3125e+07,6.9169e+27
8.0511e+07,-1.8111e+07,1.9485e+27
-5.4801e+07,-8.6042e+07,8.1541e+27
-3.9169e+07,-3.3357e+07,1.4962e+27
4.2999e+07,-9.636e+07,9.7476e+27
4.4818e+07,7.4807e+07,6.0982e+27
-9.6265e+07,-9.0221e+07,1.0457e+28
-4.2837e+07,5.6411e+06,4.9058e+26
1.6097e+07,3.3665e+07,1.1981e+27
8.6157e+07,-2.6905e+07,2.5796e+27
-3.2201e+07,-4.8976e+07,2.6578e+27
-7.5983e+07,4.0585e+07,3.0905e+27
3.2545e+06,-2.6431e+07,7.0122e+26
3.9841e+07,-3.6438e+07,1.7245e+27
-4.0272e+07,8.9224e+07,8.3663e+27
7.2322e+07,3.1775e+07,2.3173e+27
8.1161e+07,-8.4893e+07,8.8536e+27
5.3717e+07,-7.2498e+06,7.7393e+26
-4.7754e+07,-5.7291e+07,3.8524e+27
8.7691e+07,-7.4637e+07,7.4931e+27
8.7728e+07,-2.8913e+07,2.76e+27
4.9009e+07,6.3947e+07,4.6897e+27
8.2147e+07,4.327e+07,3.5593e+27
-5.2555e+07,5.8884e+07,4.1578e+27
-1.0065e+06,-8.5772e+07,7.357e+27
6.1976e+07,-4.3854e+07,2.8834e+27
9.0913e+07,6.7082e+07,6.5662e+27
2.7497e+07,6.9279e+07,4.9886e+27
8.217e+07,-6.6166e+07,6.0659e+27
3.8427e+07,2.9981e+07,1.268e+27
-9.1411e+07,-5.8942e+07,5.5632e+27
6.6717e+07,6.3197e+07,5.1067e+27
-2.601e+07,2.1125e+07,6.1542e+26
8.7311e+07,4.3147e+07,3.7675e+27
-3.3894e+06,4.8826e+07,2.3868e+27
-7.4934e+07,-4.7866e+07,3.6949e+27
9.2891e+07,-6.9537e+07,6.9926e+27
-9.6595e+07,2.4311e+07,2.9237e+27
3.5314e+07,-3.7852e+07,1.7446e+27
-7.1912e+07,3.7166e+07,2.6741e+27
-6.8937e+07,-2.9341e+06,1.1967e+27
2.9912e+07,8.5934e+07,7.6084e+27
9.6331e+07,7.6057e+07,8.1046e+27
3.8961e+07,-8.0783e+07,6.9054e+27
5.2395e+07,6.8076e+07,5.3206e+27
-1.4958e+07,6.2425e+07,3.9528e+27
-7.2221e+07,-3.3242e+07,2.409e+27
-5.6763e+07,-9.4911e+07,9.8135e+27
5.294e+07,9.1769e+06,7.8488e+26
-8.9079e+07,-2.9052e+07,2.8278e+27
-1.9754e+06,2.1864e+07,4.79e+26
-6.3862e+07,9.4491e+07,9.9481e+27
2.6185e+07,4.6887e+06,1.934e+26
1.0248e+07,3.4061e+07,1.1864e+27
1.3416e+07,-3.5077e+07,1.2754e+27
6.3669e+07,-8.3028e+07,7.907e+27
8.7797e+07,3.506e+07,3.1563e+27
-6.142e+07,-2.4701e+07,1.5532e+27
4.2569e+07,-5.5103e+07,3.4893e+27
3.9588e+07,6.7552e+07,4.9551e+27
-4.8341e+07,5.7998e+07,3.948e+27
8.3162e+07,5.3423e+07,4.583e+27
6.4716e+06,3.4115e+07,1.1743e+27
1.1593e+07,8.3519e+07,7.009e+27
-3.5446e+07,8.6101e+07,7.7275e+27
-3.2274e+07,-1.7983e+07,5.8379e+26
-3.354e+07,-6.5101e+07,4.5193e+27
9.5764e+07,8.4019e+07,9.3518e+27
-5.9357e+07,9.4222e+07,9.7587e+27
3.3405e+07,7.6397e+07,6.1154e+27
1.4957e+07,-7.6275e+06,1.1411e+26
-8.9605e+07,-8.109e+07,8.5829e+27
8.5676e+06,-9.9168e+06,1.1669e+26
-5.841e+07,-8.471e+06,9.247e+26
-8.1782e+07,-7.5824e+07,7.4214e+27
7.3971e+07,-7.3657e+07,6.7933e+27
-9.4526e+07,2.5106e+07,2.8641e+27
9.3725e+07,-3.66e+07,3.5357e+27
-3.45e+07,-7.4014e+07,5.7756e+27
-1.7944e+07,-9.306e+07,8.7407e+27
-7.2891e+07,3.429e+07,2.5041e+27
-7.4587e+07,4.715e+05,1.391e+27
-1.7203e+07,-4.6677e+07,2.2527e+27
2.3489e+07,-5.5225e+07,3.1878e+27
-7.3547e+07,-7.1735e+07,6.4982e+27
9.4896e+07,-7.535e+07,7.929e+27
-6.3873e+07,3.4808e+07,2.2315e+27
5.207e+07,3.528e+07,1.9225e+27
-3.5676e+06,-1.648e+07,2.7478e+26
5.3616e+07,3.1435e+07,1.7068e+27
-3.942e+07,-9.4951e+07,9.4041e+27
-9.6965e+07,8.8755e+07,1.0228e+28
-7.3263e+06,1.1653e+07,1.4921e+26
4.0667e+07,-6.982e+07,5.2883e+27
-8.6792e+07,-4.995e+07,4.3783e+27
3.3802e+07,9.3194e+07,8.9708e+27
-3.0904e+07,7.9029e+06,3.0122e+26
1.8344e+07,6.9458e+07,4.9085e+27
-5.4189e+07,-9.7275e+07,1.0197e+28
-4.6486e+07,9.6236e+07,9.8016e+27
8.6565e+07,8.9723e+07,9.9236e+27
6.5229e+07,-2.5263e+07,1.7019e+27
-7.0911e+07,4.5232e+06,1.2776e+27
2.9401e+07,-3.6184e+07,1.5254e+27
7.679e+07,9.486e+06,1.5642e+27
4.8272e+07,2.6034e+06,5.8933e+26
3.1422e+06,5.1553e+07,2.6602e+27
-7.295e+07,1.5431e+07,1.5685e+27
-9.2023e+07,-3.8697e+07,3.6145e+27
6.6864e+07,-1.0238e+07,1.2225e+27
-7.6588e+07,5.0972e+06,1.4924e+27
4.6205e+06,8.651e+06,8.0176e+25
7.4612e+07,6.9195e+06,1.4396e+27
-9.2258e+07,4.6006e+07,4.2444e+27
3.8478e+07,-8.1329e+07,6.9846e+27
-4.7463e+06,6.3761e+07,4.071e+27
-6.6147e+07,-3.2493e+07,2.1497e+27
-8.7366e+07,-6.0932e+07,5.6209e+27
-9.3555e+07,2.948e+07,3.0572e+27
-5.1514e+07,-7.8726e+07,6.8612e+27
-7.7459e+07,8.2272e+07,8.2687e+27
-1.9002e+07,-7.9456e+07,6.4036e+27
-9.1585e+07,-9.1923e+06,2.1815e+27
8.5313e+07,-1.6126e+07,2.0796e+27
8.7053e+07,9.3572e+07,1.065e+28
6.2085e+07,-1.0063e+07,1.0649e+27
-6.2331e+07,5.5572e+07,4.0596e+27
1.7464e+07,-5.1584e+07,2.7372e+27
8.0702e+07,-3.3425e+07,2.7454e+27
9.3468e+07,-3.6363e+07,3.5063e+27
-8.6492e+07,8.9215e+07,9.8296e+27
-3.6483e+07,-4.1047e+07,2.0176e+27
3.9373e+07,2.4512e+07,9.8837e+26
2.8053e+07,3.9515e+07,1.7582e+27
2.6525e+07,-5.9735e+07,3.7441e+27
6.575e+07,5.8232e+06,1.1147e+27
4.2622e+07,-9.2151e+07,8.9459e+27
-3.2904e+07,-9.1408e+07,8.626e+27
-6.6461e+07,-2.9855e+07,1.9956e+27
5.2938e+07,4.1655e+07,2.4357e+27
-2.8137e+07,2.7916e+07,9.7721e+26
-8.2399e+07,4.3363e+07,3.5778e+27
4.5914e+07,-2.8357e+07,1.3311e+27
7.621e+07,2.1435e+07,1.9114e+27
-9.1747e+07,8.4156e+07,9.1866e+27
-6.5026e+07,9.1358e+07,9.4035e+27
-1.5981e+07,5.8779e+06,9.8394e+25
-3.1879e+07,1.7345e+07,5.549e+26
-9.1046e+07,-7.5632e+07,7.7926e+27
-7.7422e+07,-6.7388e+07,6.0396e+27
-1.2392e+07,-1.9435e+07,4.161e+26
-8.5785e+07,-2.2242e+07,2.3345e+27
6.3249e+07,-7.7524e+07,7.0101e+27
7.3223e+07,-9.0539e+07,9.5377e+27
-7.3776e+07,4.8667e+07,3.7292e+27
-6.1356e+07,-9.4553e+07,9.8814e+27
-1.2501e+07,5.0199e+07,2.559e+27
9.4185e+07,1.7171e+07,2.5126e+27
5.4772e+07,-6.8262e+07,5.4097e+27
-7.3645e+07,-9.2955e+07,9.9965e+27
8.5436e+07,3.4027e+07,2.9827e+27
6.5559e+07,-6.0955e+07,4.79e+27
-2.1454e+07,9.8341e+06,2.1178e+26
-7.1886e+07,-4.8133e+07,3.6086e+27
-8.9573e+07,5.7692e+07,5.3342e+27
-8.1454e+07,6.8606e+07,6.3655e+27
7.7398e+07,2.7886e+07,2.2753e+27
-6.637e+07,-3.2318e+07,2.1457e+27
-2.7423e+07,6.0627e+07,3.8636e+27
3.0856e+07,2.3294e+07,7.8062e+26
